Player,Innings Bowled In,Balls Bowled,Runs Conceded,Wickets Taken,Bowling Avg,Economy Rate,Bowling Strike Rate,Ratings
Faheem Ashraf,16,573,409,18,22.72,4.28,31.8,229.8199227994228
A Balbirnie,3,60,68,2,34.0,6.8,30.0,229.08801984126984
AS Joseph,15,757,818,24,34.08,6.48,31.5,229.08190873015874
SS Cottrell,6,256,269,8,33.62,6.3,32.0,229.08190873015874
O Thomas,4,168,204,6,34.0,7.28,28.0,229.08190873015874
Rumman Raees,9,463,464,14,33.14,6.01,33.0,229.08190873015874
TS Chisoro,16,768,556,20,27.8,4.34,38.4,228.8445894660895
Simi Singh,8,360,235,9,26.11,3.91,40.0,228.8445894660895
SM Curran,2,72,90,2,45.0,7.5,36.0,225.26190873015872
AT Rayudu,8,109,111,3,37.0,6.11,36.3,225.25940873015873
SN Thakur,5,215,218,6,36.33,6.08,35.8,225.25940873015873
PWA Mulder,7,264,255,7,36.42,5.79,37.7,225.25940873015873
DL Chahar,1,24,37,1,37.0,9.25,24.0,225.18717929292936
JA Richardson,4,222,271,7,38.71,7.32,31.7,225.15940873015873
RP Burl,5,804,81,2,40.5,5.92,41.0,223.7365753968254
B Stanlake,6,294,275,7,39.28,5.61,42.0,223.7340753968254
MP Stoinis,19,774,781,18,43.38,6.05,43.0,219.19647943722947
Mohammad Nawaz (3),14,675,583,16,36.43,5.18,42.1,218.1337521645022
Mehidy Hasan Miraz,21,1098,785,24,32.7,4.28,45.7,210.42539502164504
OP Stone,3,96,97,1,97.0,6.06,96.0,209.40181277056274
MG Neser,2,100,120,2,60.0,7.2,50.0,209.40181277056274
CJ Dala,2,102,121,1,121.0,7.11,102.0,209.40181277056274
LN Roche,3,138,157,2,78.5,6.82,69.0,209.40181277056274
CAK Rajitha,3,93,92,2,46.0,5.81,47.5,209.40181277056274
R Ngarava,9,375,409,8,51.12,6.5,47.1,209.39931277056274
Haris Sohail,15,528,503,10,50.3,5.71,52.8,209.39931277056274
MD Gunathilaka,17,294,288,6,48.0,5.87,49.0,209.39931277056274
KMA Paul,11,508,498,11,45.27,5.88,46.1,209.39931277056274
R Powell,13,245,243,3,81.0,5.95,81.6,209.39931277056274
B Muzarabani,18,786,733,18,40.72,5.59,43.6,209.39931277056274
Azhar Ali,14,258,260,4,65.0,6.04,64.5,209.39931277056274
Aamer Yamin,4,156,154,2,77.0,5.92,78.0,209.39931277056274
RL Chase,7,161,149,3,49.66,5.55,53.6,209.39931277056274
DM de Silva,22,516,464,10,46.4,5.39,51.6,209.39931277056274
BRM Taylor,21,396,406,9,45.11,6.15,44.0,209.39931277056274
AC Agar,9,432,414,8,51.75,5.75,54.0,209.39931277056274
B Mavuta,5,234,220,5,44.0,5.64,46.8,209.39931277056274
F du Plessis,11,192,189,2,94.5,5.9,96.0,209.39931277056274
